Internship_ID,Company,Role,Location,Stipend,Required_Skills,Description
INT_5164,Cosmos AI,Data Analyst,Indore,8000,"Power BI, Data Science, Python, R, SQL","Join Cosmos AI as a Data Analyst. We need expertise in Power BI, Data Science."
INT_5165,CyberDyne,DevOps Engineer,Chennai,25000,"Docker, CI/CD, Jenkins","Join CyberDyne as a DevOps Engineer. We need expertise in Docker, CI/CD."
INT_5166,Equinox Labs,Data Analyst,Hyderabad,12000,"Excel, SQL, Data Science, Statistics","Join Equinox Labs as a Data Analyst. We need expertise in Excel, SQL."
INT_5167,Omega Corp,DevOps Engineer,Noida,5000,"Bash Scripting, Azure, AWS","Join Omega Corp as a DevOps Engineer. We need expertise in Bash Scripting, Azure."
INT_5168,Fusion Labs,Backend Developer,Indore,20000,"NoSQL, Java, PostgreSQL","Join Fusion Labs as a Backend Developer. We need expertise in NoSQL, Java."
INT_5169,Nexus Solutions,Data Scientist,Indore,20000,"Machine Learning, Tableau, Pandas, PyTorch","Join Nexus Solutions as a Data Scientist. We need expertise in Machine Learning, Tableau."
INT_5170,CodeCraft,System Administrator,Bangalore,10000,"Virtualization, Azure, Linux, Networking","Join CodeCraft as a System Administrator. We need expertise in Virtualization, Azure."
INT_5171,Sierra Logic,Software Engineer,Hyderabad,5000,"C++, SQL, Git, System Design","Join Sierra Logic as a Software Engineer. We need expertise in C++, SQL."
INT_5172,AlphaTech,QA Engineer,Chennai,8000,"JIRA, Selenium, Automation Testing","Join AlphaTech as a QA Engineer. We need expertise in JIRA, Selenium."
INT_5173,Infinity AI,Full Stack Developer,Chennai,10000,"JavaScript, Git, Node.js, CSS, Express.js","Join Infinity AI as a Full Stack Developer. We need expertise in JavaScript, Git."
INT_5174,AlphaTech,Backend Developer,Noida,8000,"Express.js, NoSQL, MongoDB","Join AlphaTech as a Backend Developer. We need expertise in Express.js, NoSQL."
INT_5175,Vertex Global,Mobile App Developer,Hyderabad,10000,"Android Studio, Flutter, iOS Development, React Native","Join Vertex Global as a Mobile App Developer. We need expertise in Android Studio, Flutter."
INT_5176,Starlight Systems,Mobile App Developer,Noida,5000,"Android Studio, iOS Development, Kotlin, Swift","Join Starlight Systems as a Mobile App Developer. We need expertise in Android Studio, iOS Development."
INT_5177,CoreSystems,UI/UX Designer,Bangalore,8000,"Figma, HTML, Wireframing","Join CoreSystems as a UI/UX Designer. We need expertise in Figma, HTML."
INT_5178,SparkNet,System Administrator,Chennai,12000,"Bash, AWS, Windows Server, Virtualization, Azure","Join SparkNet as a System Administrator. We need expertise in Bash, AWS."
INT_5179,Vanguard Data,Product Manager,Bangalore,Unpaid,"JIRA, Agile, Communication, Data Analysis","Join Vanguard Data as a Product Manager. We need expertise in JIRA, Agile."
INT_5180,Aether Dynamics,System Administrator,Chennai,25000,"Windows Server, Networking, Azure, Virtualization","Join Aether Dynamics as a System Administrator. We need expertise in Windows Server, Networking."
INT_5181,LogicGate,Mobile App Developer,Indore,10000,"Kotlin, iOS Development, Android Studio","Join LogicGate as a Mobile App Developer. We need expertise in Kotlin, iOS Development."
INT_5182,Sierra Logic,QA Engineer,Noida,20000,"Automation Testing, SQL, Python","Join Sierra Logic as a QA Engineer. We need expertise in Automation Testing, SQL."
INT_5183,Zenith AI,DevOps Engineer,Gurgaon,25000,"Kubernetes, CI/CD, Docker, Linux","Join Zenith AI as a DevOps Engineer. We need expertise in Kubernetes, CI/CD."
INT_5184,Stellar Code,Software Engineer,Bangalore,20000,"SQL, System Design, Algorithms, C++","Join Stellar Code as a Software Engineer. We need expertise in SQL, System Design."
INT_5185,InnovateX,DevOps Engineer,Mumbai,25000,"Bash Scripting, Kubernetes, Git","Join InnovateX as a DevOps Engineer. We need expertise in Bash Scripting, Kubernetes."
INT_5186,OrbitTech,UI/UX Designer,Indore,12000,"User Research, Adobe XD, Sketch, Figma, Wireframing","Join OrbitTech as a UI/UX Designer. We need expertise in User Research, Adobe XD."
INT_5187,DeepDive Data,Full Stack Developer,Remote,25000,"CSS, Node.js, React, Express.js, JavaScript","Join DeepDive Data as a Full Stack Developer. We need expertise in CSS, Node.js."
INT_5188,Fusion Labs,Mobile App Developer,Remote,20000,"Swift, Flutter, Android Studio, React Native, iOS Development","Join Fusion Labs as a Mobile App Developer. We need expertise in Swift, Flutter."
INT_5189,Delta Force,DevOps Engineer,Hyderabad,20000,"CI/CD, Git, Kubernetes, Bash Scripting, Docker","Join Delta Force as a DevOps Engineer. We need expertise in CI/CD, Git."
INT_5190,Global Connect,Data Scientist,Indore,12000,"Tableau, TensorFlow, Python","Join Global Connect as a Data Scientist. We need expertise in Tableau, TensorFlow."
INT_5191,PrimeLogic,Data Scientist,Bangalore,15000,"Scikit-learn, SQL, TensorFlow, Python, NumPy","Join PrimeLogic as a Data Scientist. We need expertise in Scikit-learn, SQL."
INT_5192,Equinox Labs,Data Analyst,Chennai,25000,"Python, Data Science, R, Statistics","Join Equinox Labs as a Data Analyst. We need expertise in Python, Data Science."
INT_5193,InnovateX,Full Stack Developer,Chennai,12000,"CSS, Node.js, Git","Join InnovateX as a Full Stack Developer. We need expertise in CSS, Node.js."
INT_5194,Stellar Code,System Administrator,Chennai,8000,"Windows Server, Azure, Networking, Linux, Bash","Join Stellar Code as a System Administrator. We need expertise in Windows Server, Azure."
INT_5195,Smart Solutions,Backend Developer,Hyderabad,25000,"NoSQL, Django, PostgreSQL, MongoDB","Join Smart Solutions as a Backend Developer. We need expertise in NoSQL, Django."
INT_5196,FastTrack Soft,Data Scientist,Hyderabad,5000,"Machine Learning, Python, Data Science","Join FastTrack Soft as a Data Scientist. We need expertise in Machine Learning, Python."
INT_5197,AlphaTech,Machine Learning Engineer,Remote,8000,"Deep Learning, MLOps, Docker, Python, PyTorch","Join AlphaTech as a Machine Learning Engineer. We need expertise in Deep Learning, MLOps."
INT_5198,Horizon Tech,System Administrator,Gurgaon,5000,"Bash, Networking, Windows Server","Join Horizon Tech as a System Administrator. We need expertise in Bash, Networking."
INT_5199,CyberDyne,DevOps Engineer,Remote,10000,"Docker, CI/CD, Azure, Bash Scripting, AWS","Join CyberDyne as a DevOps Engineer. We need expertise in Docker, CI/CD."
INT_5200,DataMinds,Machine Learning Engineer,Noida,25000,"Python, AWS, MLOps, PyTorch, Deep Learning","Join DataMinds as a Machine Learning Engineer. We need expertise in Python, AWS."
INT_5201,Global Connect,Product Manager,Noida,10000,"SQL, Product Management, Data Analysis, Roadmapping, Agile","Join Global Connect as a Product Manager. We need expertise in SQL, Product Management."
INT_5202,LogicGate,UI/UX Designer,Pune,15000,"HTML, Wireframing, User Research, CSS, Sketch","Join LogicGate as a UI/UX Designer. We need expertise in HTML, Wireframing."
INT_5203,Stellar Code,Mobile App Developer,Indore,25000,"Kotlin, Android Studio, Flutter, React Native","Join Stellar Code as a Mobile App Developer. We need expertise in Kotlin, Android Studio."
INT_5204,Titan Software,Data Scientist,Delhi,15000,"PyTorch, Data Science, Scikit-learn, Python, Pandas","Join Titan Software as a Data Scientist. We need expertise in PyTorch, Data Science."
INT_5205,Echo Systems,Full Stack Developer,Mumbai,5000,"JavaScript, Node.js, Git","Join Echo Systems as a Full Stack Developer. We need expertise in JavaScript, Node.js."
INT_5206,TerraFirm,UI/UX Designer,Hyderabad,12000,"Adobe XD, Prototyping, User Research, HTML, Sketch","Join TerraFirm as a UI/UX Designer. We need expertise in Adobe XD, Prototyping."
INT_5207,Global Connect,QA Engineer,Delhi,10000,"Python, SQL, Java","Join Global Connect as a QA Engineer. We need expertise in Python, SQL."
INT_5208,TerraFirm,Full Stack Developer,Pune,12000,"Node.js, HTML, MongoDB","Join TerraFirm as a Full Stack Developer. We need expertise in Node.js, HTML."
INT_5209,Future Systems,Software Engineer,Indore,10000,"Java, Git, Data Structures","Join Future Systems as a Software Engineer. We need expertise in Java, Git."
INT_5210,Delta Force,DevOps Engineer,Noida,25000,"Git, Docker, Bash Scripting","Join Delta Force as a DevOps Engineer. We need expertise in Git, Docker."
INT_5211,Smart Solutions,Machine Learning Engineer,Pune,15000,"TensorFlow, Machine Learning, Deep Learning, AWS, Docker","Join Smart Solutions as a Machine Learning Engineer. We need expertise in TensorFlow, Machine Learning."
INT_5212,TerraFirm,Frontend Developer,Gurgaon,25000,"HTML, Redux, CSS, Angular","Join TerraFirm as a Frontend Developer. We need expertise in HTML, Redux."
INT_5213,OrbitTech,Backend Developer,Hyderabad,25000,"PostgreSQL, Flask, Spring Boot","Join OrbitTech as a Backend Developer. We need expertise in PostgreSQL, Flask."
INT_5214,Cosmos AI,Data Analyst,Gurgaon,25000,"Power BI, R, Excel","Join Cosmos AI as a Data Analyst. We need expertise in Power BI, R."
INT_5215,Polaris Solutions,Software Engineer,Hyderabad,12000,"Data Structures, Python, System Design, Git, SQL","Join Polaris Solutions as a Software Engineer. We need expertise in Data Structures, Python."
INT_5216,Helios Data,Mobile App Developer,Indore,5000,"React Native, Flutter, Android Studio, iOS Development, Java","Join Helios Data as a Mobile App Developer. We need expertise in React Native, Flutter."
INT_5217,DataMinds,UI/UX Designer,Indore,25000,"Figma, Prototyping, CSS, User Research","Join DataMinds as a UI/UX Designer. We need expertise in Figma, Prototyping."
INT_5218,DataMinds,Data Analyst,Pune,20000,"R, SQL, Statistics, Tableau, Data Science","Join DataMinds as a Data Analyst. We need expertise in R, SQL."
INT_5219,Aether Dynamics,Data Scientist,Bangalore,12000,"Machine Learning, PyTorch, Scikit-learn, NumPy, Pandas","Join Aether Dynamics as a Data Scientist. We need expertise in Machine Learning, PyTorch."
INT_5220,CyberDyne,Frontend Developer,Indore,15000,"TypeScript, Tailwind CSS, Angular, Redux, JavaScript","Join CyberDyne as a Frontend Developer. We need expertise in TypeScript, Tailwind CSS."
INT_5221,Summit Digital,Full Stack Developer,Gurgaon,Unpaid,"Express.js, Node.js, Git, SQL, HTML","Join Summit Digital as a Full Stack Developer. We need expertise in Express.js, Node.js."
INT_5222,Aether Dynamics,Product Manager,Gurgaon,20000,"Communication, Agile, Product Management, SQL","Join Aether Dynamics as a Product Manager. We need expertise in Communication, Agile."
INT_5223,Zenith AI,Data Analyst,Mumbai,20000,"Data Science, Power BI, R","Join Zenith AI as a Data Analyst. We need expertise in Data Science, Power BI."
INT_5224,AlphaTech,QA Engineer,Hyderabad,Unpaid,"Java, Automation Testing, Python","Join AlphaTech as a QA Engineer. We need expertise in Java, Automation Testing."
INT_5225,Cosmos AI,Mobile App Developer,Indore,15000,"Kotlin, Swift, iOS Development, Flutter","Join Cosmos AI as a Mobile App Developer. We need expertise in Kotlin, Swift."
INT_5226,TechSol,UI/UX Designer,Hyderabad,8000,"Wireframing, Prototyping, User Research, CSS","Join TechSol as a UI/UX Designer. We need expertise in Wireframing, Prototyping."
INT_5227,DeepDive Data,Data Analyst,Mumbai,15000,"Excel, Statistics, Power BI, Python","Join DeepDive Data as a Data Analyst. We need expertise in Excel, Statistics."
INT_5228,Novus Tech,Backend Developer,Chennai,10000,"Spring Boot, Java, MongoDB, NoSQL, Flask","Join Novus Tech as a Backend Developer. We need expertise in Spring Boot, Java."
INT_5229,Cosmos AI,Data Analyst,Pune,12000,"Power BI, Data Science, Excel, SQL","Join Cosmos AI as a Data Analyst. We need expertise in Power BI, Data Science."
INT_5230,SoftSystems,Mobile App Developer,Hyderabad,Unpaid,"Java, Kotlin, iOS Development, Swift, React Native","Join SoftSystems as a Mobile App Developer. We need expertise in Java, Kotlin."
INT_5231,Equinox Labs,Frontend Developer,Hyderabad,8000,"Redux, Tailwind CSS, JavaScript","Join Equinox Labs as a Frontend Developer. We need expertise in Redux, Tailwind CSS."
INT_5232,TechSol,Data Scientist,Hyderabad,12000,"Tableau, Machine Learning, Data Science, Scikit-learn, TensorFlow","Join TechSol as a Data Scientist. We need expertise in Tableau, Machine Learning."
INT_5233,LogicGate,Backend Developer,Mumbai,25000,"SQL, NoSQL, Node.js, Flask","Join LogicGate as a Backend Developer. We need expertise in SQL, NoSQL."
INT_5234,Solstice Tech,Data Analyst,Pune,10000,"Data Science, Statistics, Power BI","Join Solstice Tech as a Data Analyst. We need expertise in Data Science, Statistics."
INT_5235,TechSol,Full Stack Developer,Remote,5000,"Node.js, SQL, JavaScript, HTML, React","Join TechSol as a Full Stack Developer. We need expertise in Node.js, SQL."
INT_5236,LogicGate,Software Engineer,Pune,10000,"Python, SQL, Git, Data Structures, C++","Join LogicGate as a Software Engineer. We need expertise in Python, SQL."
INT_5237,OrbitTech,DevOps Engineer,Gurgaon,Unpaid,"CI/CD, Kubernetes, Bash Scripting, Azure, Git","Join OrbitTech as a DevOps Engineer. We need expertise in CI/CD, Kubernetes."
INT_5238,CloudNet,DevOps Engineer,Mumbai,15000,"CI/CD, AWS, Linux, Jenkins","Join CloudNet as a DevOps Engineer. We need expertise in CI/CD, AWS."
INT_5239,Horizon Tech,Frontend Developer,Bangalore,Unpaid,"Redux, Vue.js, Angular, HTML","Join Horizon Tech as a Frontend Developer. We need expertise in Redux, Vue.js."
INT_5240,Meridian Soft,Backend Developer,Remote,25000,"Express.js, Django, MongoDB, Flask, SQL","Join Meridian Soft as a Backend Developer. We need expertise in Express.js, Django."
INT_5241,Solstice Tech,Frontend Developer,Bangalore,12000,"Vue.js, React, TypeScript","Join Solstice Tech as a Frontend Developer. We need expertise in Vue.js, React."
INT_5242,Titan Software,DevOps Engineer,Pune,15000,"Docker, Jenkins, Azure","Join Titan Software as a DevOps Engineer. We need expertise in Docker, Jenkins."
INT_5243,ByteWorks,Frontend Developer,Delhi,20000,"TypeScript, React, JavaScript","Join ByteWorks as a Frontend Developer. We need expertise in TypeScript, React."
INT_5244,AlphaTech,Data Scientist,Hyderabad,20000,"Data Science, Python, Pandas, PyTorch","Join AlphaTech as a Data Scientist. We need expertise in Data Science, Python."
INT_5245,Apex Innovations,Frontend Developer,Pune,Unpaid,"Vue.js, React, Redux, HTML, JavaScript","Join Apex Innovations as a Frontend Developer. We need expertise in Vue.js, React."
INT_5246,Global Connect,Backend Developer,Mumbai,12000,"Django, SQL, API Design, PostgreSQL, NoSQL","Join Global Connect as a Backend Developer. We need expertise in Django, SQL."
INT_5247,Global Connect,Mobile App Developer,Hyderabad,25000,"React Native, Java, Flutter, Android Studio, Kotlin","Join Global Connect as a Mobile App Developer. We need expertise in React Native, Java."
INT_5248,TechSol,Frontend Developer,Pune,15000,"CSS, TypeScript, Angular","Join TechSol as a Frontend Developer. We need expertise in CSS, TypeScript."
INT_5249,SparkNet,DevOps Engineer,Delhi,25000,"Linux, CI/CD, Docker, Jenkins, Bash Scripting","Join SparkNet as a DevOps Engineer. We need expertise in Linux, CI/CD."
INT_5250,Infinity AI,Machine Learning Engineer,Remote,8000,"Docker, PyTorch, Deep Learning, Machine Learning","Join Infinity AI as a Machine Learning Engineer. We need expertise in Docker, PyTorch."
INT_5251,Sierra Logic,DevOps Engineer,Indore,8000,"Kubernetes, Git, AWS, CI/CD","Join Sierra Logic as a DevOps Engineer. We need expertise in Kubernetes, Git."
INT_5252,Quantum Bits,Data Scientist,Indore,25000,"Scikit-learn, SQL, Machine Learning, TensorFlow","Join Quantum Bits as a Data Scientist. We need expertise in Scikit-learn, SQL."
INT_5253,Global Connect,Backend Developer,Noida,25000,"PostgreSQL, SQL, Node.js, API Design","Join Global Connect as a Backend Developer. We need expertise in PostgreSQL, SQL."
INT_5254,Infinity AI,Backend Developer,Bangalore,20000,"API Design, Spring Boot, SQL, PostgreSQL","Join Infinity AI as a Backend Developer. We need expertise in API Design, Spring Boot."
INT_5255,Visionary Apps,Data Analyst,Chennai,Unpaid,"R, SQL, Power BI","Join Visionary Apps as a Data Analyst. We need expertise in R, SQL."
INT_5256,Echo Systems,Data Scientist,Hyderabad,25000,"TensorFlow, NumPy, PyTorch","Join Echo Systems as a Data Scientist. We need expertise in TensorFlow, NumPy."
INT_5257,Apex Innovations,System Administrator,Delhi,15000,"Azure, Bash, Networking, Linux, Windows Server","Join Apex Innovations as a System Administrator. We need expertise in Azure, Bash."
INT_5258,Universal Tech,Backend Developer,Noida,8000,"Django, API Design, NoSQL","Join Universal Tech as a Backend Developer. We need expertise in Django, API Design."
INT_5259,Starlight Systems,Software Engineer,Mumbai,25000,"Python, Data Structures, Git","Join Starlight Systems as a Software Engineer. We need expertise in Python, Data Structures."
INT_5260,Visionary Apps,QA Engineer,Chennai,25000,"SQL, Selenium, Manual Testing, Java, Python","Join Visionary Apps as a QA Engineer. We need expertise in SQL, Selenium."
INT_5261,Global Connect,QA Engineer,Mumbai,10000,"Python, Selenium, SQL, Automation Testing, Java","Join Global Connect as a QA Engineer. We need expertise in Python, Selenium."
INT_5262,BlueWave,UI/UX Designer,Chennai,12000,"HTML, Sketch, Prototyping, CSS, User Research","Join BlueWave as a UI/UX Designer. We need expertise in HTML, Sketch."
INT_5263,Cosmos AI,Software Engineer,Pune,15000,"Data Structures, C++, SQL, Git, System Design","Join Cosmos AI as a Software Engineer. We need expertise in Data Structures, C++."
INT_5264,DataMinds,QA Engineer,Gurgaon,15000,"Selenium, Automation Testing, Python","Join DataMinds as a QA Engineer. We need expertise in Selenium, Automation Testing."
INT_5265,Horizon Tech,Backend Developer,Mumbai,Unpaid,"Spring Boot, Java, Django, PostgreSQL","Join Horizon Tech as a Backend Developer. We need expertise in Spring Boot, Java."
INT_5266,Smart Solutions,Data Analyst,Gurgaon,10000,"Power BI, Data Science, Statistics, Python, Tableau","Join Smart Solutions as a Data Analyst. We need expertise in Power BI, Data Science."
INT_5267,Cosmos AI,Full Stack Developer,Delhi,Unpaid,"React, SQL, MongoDB, Git, CSS","Join Cosmos AI as a Full Stack Developer. We need expertise in React, SQL."
INT_5268,TechSol,DevOps Engineer,Bangalore,5000,"Git, Docker, Bash Scripting, Jenkins","Join TechSol as a DevOps Engineer. We need expertise in Git, Docker."
INT_5269,AlphaTech,Frontend Developer,Chennai,15000,"CSS, JavaScript, TypeScript","Join AlphaTech as a Frontend Developer. We need expertise in CSS, JavaScript."
INT_5270,Omega Corp,QA Engineer,Hyderabad,Unpaid,"Python, Automation Testing, JIRA, Manual Testing, Selenium","Join Omega Corp as a QA Engineer. We need expertise in Python, Automation Testing."
INT_5271,CyberDyne,Frontend Developer,Bangalore,12000,"Vue.js, React, Tailwind CSS","Join CyberDyne as a Frontend Developer. We need expertise in Vue.js, React."
INT_5272,Aether Dynamics,System Administrator,Mumbai,25000,"Bash, Linux, Networking, AWS","Join Aether Dynamics as a System Administrator. We need expertise in Bash, Linux."
INT_5273,Pioneer Soft,DevOps Engineer,Hyderabad,10000,"Bash Scripting, Linux, CI/CD, Kubernetes","Join Pioneer Soft as a DevOps Engineer. We need expertise in Bash Scripting, Linux."
INT_5274,Horizon Tech,Machine Learning Engineer,Chennai,25000,"Deep Learning, MLOps, PyTorch, TensorFlow","Join Horizon Tech as a Machine Learning Engineer. We need expertise in Deep Learning, MLOps."
INT_5275,Bright Ideas,QA Engineer,Hyderabad,5000,"Java, Selenium, JIRA","Join Bright Ideas as a QA Engineer. We need expertise in Java, Selenium."
INT_5276,TechSol,QA Engineer,Hyderabad,20000,"Python, Selenium, SQL, JIRA, Automation Testing","Join TechSol as a QA Engineer. We need expertise in Python, Selenium."
INT_5277,Visionary Apps,Mobile App Developer,Bangalore,15000,"Android Studio, Kotlin, Java, Flutter, Swift","Join Visionary Apps as a Mobile App Developer. We need expertise in Android Studio, Kotlin."
INT_5278,Equinox Labs,Data Analyst,Indore,25000,"SQL, Python, Tableau, Statistics, Power BI","Join Equinox Labs as a Data Analyst. We need expertise in SQL, Python."
INT_5279,FastTrack Soft,Product Manager,Gurgaon,Unpaid,"Roadmapping, Data Analysis, Product Management, JIRA, SQL","Join FastTrack Soft as a Product Manager. We need expertise in Roadmapping, Data Analysis."
INT_5280,Apex Innovations,Frontend Developer,Noida,20000,"JavaScript, Tailwind CSS, React, CSS, TypeScript","Join Apex Innovations as a Frontend Developer. We need expertise in JavaScript, Tailwind CSS."
INT_5281,Equinox Labs,QA Engineer,Delhi,8000,"Java, SQL, Selenium, Manual Testing, JIRA","Join Equinox Labs as a QA Engineer. We need expertise in Java, SQL."
INT_5282,Universal Tech,Full Stack Developer,Gurgaon,15000,"Node.js, MongoDB, React, JavaScript, Express.js","Join Universal Tech as a Full Stack Developer. We need expertise in Node.js, MongoDB."
INT_5283,DeepDive Data,QA Engineer,Hyderabad,5000,"Java, SQL, JIRA, Manual Testing, Python","Join DeepDive Data as a QA Engineer. We need expertise in Java, SQL."
INT_5284,Fusion Labs,Mobile App Developer,Gurgaon,12000,"Android Studio, iOS Development, Flutter, Swift, Java","Join Fusion Labs as a Mobile App Developer. We need expertise in Android Studio, iOS Development."
INT_5285,CodeCraft,System Administrator,Chennai,20000,"Linux, AWS, Windows Server, Networking, Azure","Join CodeCraft as a System Administrator. We need expertise in Linux, AWS."
INT_5286,CoreSystems,Backend Developer,Remote,20000,"Node.js, Django, Flask, PostgreSQL, Java","Join CoreSystems as a Backend Developer. We need expertise in Node.js, Django."
INT_5287,CoreSystems,Product Manager,Noida,10000,"Data Analysis, Roadmapping, Product Management","Join CoreSystems as a Product Manager. We need expertise in Data Analysis, Roadmapping."
INT_5288,FastTrack Soft,Full Stack Developer,Remote,5000,"Git, MongoDB, Express.js, HTML","Join FastTrack Soft as a Full Stack Developer. We need expertise in Git, MongoDB."
INT_5289,InnovateX,Mobile App Developer,Mumbai,15000,"Kotlin, Swift, React Native, Android Studio, Java","Join InnovateX as a Mobile App Developer. We need expertise in Kotlin, Swift."
INT_5290,Echo Systems,DevOps Engineer,Mumbai,25000,"Azure, Kubernetes, Bash Scripting, CI/CD","Join Echo Systems as a DevOps Engineer. We need expertise in Azure, Kubernetes."
INT_5291,ClearView Tech,Software Engineer,Noida,5000,"C++, SQL, Data Structures, Java, System Design","Join ClearView Tech as a Software Engineer. We need expertise in C++, SQL."
INT_5292,AlphaTech,Software Engineer,Delhi,Unpaid,"Java, Git, SQL, System Design, Algorithms","Join AlphaTech as a Software Engineer. We need expertise in Java, Git."
INT_5293,SparkNet,Backend Developer,Delhi,20000,"Spring Boot, PostgreSQL, API Design, Express.js, Node.js","Join SparkNet as a Backend Developer. We need expertise in Spring Boot, PostgreSQL."
INT_5294,Fusion Labs,QA Engineer,Noida,5000,"Python, Manual Testing, Java","Join Fusion Labs as a QA Engineer. We need expertise in Python, Manual Testing."
INT_5295,TerraFirm,QA Engineer,Chennai,5000,"Selenium, Automation Testing, JIRA, Python, Java","Join TerraFirm as a QA Engineer. We need expertise in Selenium, Automation Testing."
INT_5296,Bright Ideas,DevOps Engineer,Remote,5000,"Jenkins, Linux, Kubernetes, Git, Bash Scripting","Join Bright Ideas as a DevOps Engineer. We need expertise in Jenkins, Linux."
INT_5297,Universal Tech,Data Scientist,Delhi,20000,"Deep Learning, Pandas, Tableau, Data Science, Machine Learning","Join Universal Tech as a Data Scientist. We need expertise in Deep Learning, Pandas."
INT_5298,Galactic Soft,Machine Learning Engineer,Indore,Unpaid,"Machine Learning, Docker, MLOps","Join Galactic Soft as a Machine Learning Engineer. We need expertise in Machine Learning, Docker."
INT_5299,Summit Digital,DevOps Engineer,Delhi,20000,"Linux, Azure, Docker","Join Summit Digital as a DevOps Engineer. We need expertise in Linux, Azure."
INT_5300,Apex Innovations,DevOps Engineer,Mumbai,10000,"Docker, Azure, AWS, Jenkins, Linux","Join Apex Innovations as a DevOps Engineer. We need expertise in Docker, Azure."
INT_5301,Sierra Logic,Data Analyst,Mumbai,Unpaid,"Power BI, Excel, Tableau, Python, SQL","Join Sierra Logic as a Data Analyst. We need expertise in Power BI, Excel."
INT_5302,OrbitTech,Data Scientist,Pune,25000,"Machine Learning, TensorFlow, PyTorch","Join OrbitTech as a Data Scientist. We need expertise in Machine Learning, TensorFlow."
INT_5303,LogicGate,Software Engineer,Indore,12000,"Java, C++, Git","Join LogicGate as a Software Engineer. We need expertise in Java, C++."
INT_5304,CyberDyne,Data Analyst,Mumbai,10000,"SQL, R, Data Science, Python","Join CyberDyne as a Data Analyst. We need expertise in SQL, R."
INT_5305,Summit Digital,Full Stack Developer,Hyderabad,10000,"Git, JavaScript, MongoDB","Join Summit Digital as a Full Stack Developer. We need expertise in Git, JavaScript."
INT_5306,ClearView Tech,Mobile App Developer,Chennai,Unpaid,"Android Studio, Java, Kotlin, React Native, Swift","Join ClearView Tech as a Mobile App Developer. We need expertise in Android Studio, Java."
INT_5307,ClearView Tech,Mobile App Developer,Noida,15000,"iOS Development, Kotlin, Android Studio, React Native","Join ClearView Tech as a Mobile App Developer. We need expertise in iOS Development, Kotlin."
INT_5308,Pioneer Soft,Backend Developer,Mumbai,Unpaid,"SQL, Java, Express.js","Join Pioneer Soft as a Backend Developer. We need expertise in SQL, Java."
INT_5309,Summit Digital,Software Engineer,Chennai,10000,"Git, Python, System Design, Algorithms, C++","Join Summit Digital as a Software Engineer. We need expertise in Git, Python."
INT_5310,CloudNet,Data Scientist,Chennai,20000,"PyTorch, Pandas, Deep Learning","Join CloudNet as a Data Scientist. We need expertise in PyTorch, Pandas."
INT_5311,Future Systems,DevOps Engineer,Chennai,12000,"Kubernetes, Bash Scripting, Linux, CI/CD, AWS","Join Future Systems as a DevOps Engineer. We need expertise in Kubernetes, Bash Scripting."
INT_5312,CloudNet,System Administrator,Delhi,8000,"Networking, Bash, Windows Server, Linux, AWS","Join CloudNet as a System Administrator. We need expertise in Networking, Bash."
INT_5313,Visionary Apps,Mobile App Developer,Noida,Unpaid,"Android Studio, Kotlin, iOS Development, Swift","Join Visionary Apps as a Mobile App Developer. We need expertise in Android Studio, Kotlin."
INT_5314,Solstice Tech,Machine Learning Engineer,Indore,15000,"TensorFlow, AWS, Deep Learning, Docker, MLOps","Join Solstice Tech as a Machine Learning Engineer. We need expertise in TensorFlow, AWS."
INT_5315,CoreSystems,Software Engineer,Remote,25000,"C++, Data Structures, SQL","Join CoreSystems as a Software Engineer. We need expertise in C++, Data Structures."
INT_5316,ByteWorks,QA Engineer,Indore,25000,"Automation Testing, Manual Testing, Python, SQL, Java","Join ByteWorks as a QA Engineer. We need expertise in Automation Testing, Manual Testing."
INT_5317,Delta Force,Machine Learning Engineer,Delhi,12000,"Machine Learning, Docker, TensorFlow","Join Delta Force as a Machine Learning Engineer. We need expertise in Machine Learning, Docker."
INT_5318,Echo Systems,UI/UX Designer,Gurgaon,20000,"CSS, Wireframing, Prototyping, Sketch, User Research","Join Echo Systems as a UI/UX Designer. We need expertise in CSS, Wireframing."
INT_5319,BlueWave,Software Engineer,Mumbai,15000,"Python, Git, System Design, C++","Join BlueWave as a Software Engineer. We need expertise in Python, Git."
INT_5320,Quantum Bits,QA Engineer,Bangalore,8000,"SQL, Java, Automation Testing, Python","Join Quantum Bits as a QA Engineer. We need expertise in SQL, Java."
INT_5321,Omega Corp,UI/UX Designer,Hyderabad,8000,"Figma, Sketch, HTML, Adobe XD, Prototyping","Join Omega Corp as a UI/UX Designer. We need expertise in Figma, Sketch."
INT_5322,Echo Systems,Software Engineer,Indore,5000,"Algorithms, Python, C++","Join Echo Systems as a Software Engineer. We need expertise in Algorithms, Python."
INT_5323,Sierra Logic,Backend Developer,Hyderabad,8000,"Node.js, API Design, Express.js, Java","Join Sierra Logic as a Backend Developer. We need expertise in Node.js, API Design."
INT_5324,LunaSys,QA Engineer,Bangalore,Unpaid,"Selenium, Python, Manual Testing","Join LunaSys as a QA Engineer. We need expertise in Selenium, Python."
INT_5325,Omega Corp,Machine Learning Engineer,Mumbai,8000,"Machine Learning, PyTorch, AWS, Python","Join Omega Corp as a Machine Learning Engineer. We need expertise in Machine Learning, PyTorch."
INT_5326,Visionary Apps,System Administrator,Gurgaon,5000,"Azure, Bash, Virtualization","Join Visionary Apps as a System Administrator. We need expertise in Azure, Bash."
